	JPA_Jan	JPA_Feb	JPA_May	JPA_Jun	LOP_Jan	LOP_Feb	LOP_Jun	LOP_Jul	MBL_Jan	MBL_Feb	MBL_Jun	MBL_Aug
Bacteria;TM6;class_NA;orderx_NA;family_NA;genus_NA	0	19	56	2	0	32	0	0	0	2	0	0
Bacteria;TM7;class_NA;orderx_NA;family_NA;genus_NA	36	0	0	0	0	16	0	0	0	0	0	0
Bacteria;Tenericutes;Mollicutes;Haloplasmatales;Haloplasmataceae;Haloplasma	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;Opitutus	0	0	0	0	6	0	0	0	4	7	0	0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Lentimonas	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria;Verrucomicrobia;Spartobacteria;orderx_NA;family_NA;genus_NA	0	0	40	0	0	0	0	0	0	3	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Subdivision3;genus_NA	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Acidimethylosilex	0	3	0	0	0	0	2	0	0	0	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter	0	25	0	0	0	0	0	6	2	45	0	0
Bacteria;phylum_NA;class_NA;orderx_NA;family_NA;genus_NA	1924	42	10	1	2975	54	0	0	6	7	1	730
